start_h3_7,end_h3_7,trip_count,year,week_number
874995aa6ffffff,8749958c9ffffff,15,2020,46
8749958eaffffff,874995ba5ffffff,50,2020,51
874995b83ffffff,87499516cffffff,29,2020,7
874995849ffffff,874995b86ffffff,21,2020,8
874995b80ffffff,874995ba5ffffff,45,2020,2
874995ba2ffffff,874995a36ffffff,4,2020,8
874995165ffffff,874995b8bffffff,23,2020,23
874995b85ffffff,874995b80ffffff,86,2020,1
874995b9affffff,874995b1effffff,88,2020,35
874995aa4ffffff,874995b82ffffff,56,2020,46
874995bb0ffffff,874995bacffffff,19,2020,17
874995b90ffffff,87499585effffff,97,2020,47
874995ba1ffffff,874995848ffffff,28,2020,6
874995b82ffffff,8749958eaffffff,90,2020,32
874995165ffffff,874995b95ffffff,65,2020,45
8749958cbffffff,8749958ccffffff,73,2020,31
874995a30ffffff,8749958ebffffff,19,2020,19
874995ba5ffffff,8749958cbffffff,34,2020,8
874995b80ffffff,8749958cdffffff,16,2020,10
874995b1affffff,874995a34ffffff,23,2020,36
874995ba3ffffff,874995bb1ffffff,98,2020,17
874995b94ffffff,874995aa4ffffff,43,2020,8
874995ba4ffffff,874995b99ffffff,79,2020,51
874995b82ffffff,874995b8cffffff,61,2020,20
874995b95ffffff,874995b9effffff,80,2020,51
874995bb6ffffff,874995b84ffffff,83,2020,25
874995b9bffffff,874995165ffffff,15,2020,27
874995b10ffffff,874995b96ffffff,40,2020,43
874995bb3ffffff,874995ba1ffffff,38,2020,2
87499584affffff,874995843ffffff,34,2020,7
874995b88ffffff,874995ba0ffffff,34,2020,24
8749958eaffffff,874995bb5ffffff,32,2020,3
874995b95ffffff,874995baaffffff,7,2020,34
87499585affffff,874995b89ffffff,29,2020,15
874995b88ffffff,874995ba2ffffff,46,2020,51
8749958cbffffff,874995b8bffffff,35,2020,27
874995b9bffffff,8749958c8ffffff,1,2020,46
874995b14ffffff,874995b98ffffff,6,2020,14
874995b8bffffff,874995ba3ffffff,63,2020,4
874995b8dffffff,8749958e8ffffff,16,2020,52
87499584bffffff,874995a34ffffff,69,2020,22
874995ba0ffffff,874995bb6ffffff,4,2020,32
87499585affffff,87499516cffffff,19,2020,35
874995b8dffffff,874995b81ffffff,32,2020,42
874995b99ffffff,874995859ffffff,70,2020,45
8749958e9ffffff,874995b13ffffff,42,2020,37
874995ba5ffffff,87499585cffffff,26,2020,19
874995b8dffffff,874995b82ffffff,48,2020,47
874995b81ffffff,874995b93ffffff,42,2020,35
874995858ffffff,874995ba5ffffff,91,2020,21
87499585affffff,874995b93ffffff,95,2020,8
874995b13ffffff,874995b84ffffff,76,2020,37
87499584effffff,874995ba3ffffff,76,2020,1
874995b80ffffff,874995babffffff,15,2020,18
874995b9cffffff,874995a34ffffff,10,2020,19
874995bb3ffffff,8749958cbffffff,7,2020,47
874995ba5ffffff,874995849ffffff,12,2020,52
87499516cffffff,8749958e9ffffff,59,2020,8
874995b91ffffff,8749958eaffffff,37,2020,49
874995aa6ffffff,874995858ffffff,15,2020,29
874995bb3ffffff,874995b16ffffff,77,2020,24
874995bb4ffffff,874995b9dffffff,37,2020,29
874995b86ffffff,874995a34ffffff,37,2020,25
874995ba9ffffff,8749958e9ffffff,19,2020,2
874995b80ffffff,874995b91ffffff,97,2020,42
874995b92ffffff,874995b84ffffff,87,2020,23
874995b95ffffff,874995b12ffffff,30,2020,34
874995ba5ffffff,874995a30ffffff,41,2020,36
8749958ebffffff,874995b9cffffff,76,2020,7
87499516dffffff,874995b8dffffff,59,2020,10
874995bacffffff,874995badffffff,39,2020,34
874995b8effffff,874995ba2ffffff,79,2020,44
874995ba2ffffff,874995849ffffff,94,2020,20
874995b88ffffff,874995b95ffffff,74,2020,36
874995b9affffff,87499584affffff,94,2020,26
874995ba3ffffff,874995bacffffff,97,2020,38
87499585affffff,874995a30ffffff,14,2020,20
874995ba5ffffff,874995ba2ffffff,17,2020,2
874995b85ffffff,874995ba9ffffff,31,2020,4
8749958e8ffffff,874995b99ffffff,48,2020,12
874995ba4ffffff,874995b8bffffff,75,2020,9
874995b9cffffff,8749958ebffffff,57,2020,37
874995baaffffff,874995bb0ffffff,37,2020,18
874995bb4ffffff,874995ba4ffffff,31,2020,4
87499585dffffff,874995a30ffffff,92,2020,26
87499584bffffff,874995bb1ffffff,69,2020,7
87499585affffff,874995859ffffff,93,2020,52
874995b88ffffff,8749958e8ffffff,57,2020,4
874995bacffffff,8749958cdffffff,35,2020,36
874995b8dffffff,874995858ffffff,32,2020,8
874995b90ffffff,874995aa6ffffff,40,2020,26
874995baeffffff,874995bb5ffffff,94,2020,14
874995b82ffffff,874995ba9ffffff,14,2020,13
874995b10ffffff,874995bb5ffffff,36,2020,51
874995b94ffffff,874995843ffffff,90,2020,45
8749958ebffffff,874995b92ffffff,1,2020,52
874995b15ffffff,874995b99ffffff,13,2020,30
874995b1affffff,874995badffffff,24,2020,34
874995b92ffffff,87499584effffff,71,2020,18
874995b10ffffff,874995bacffffff,27,2020,7
