node,name_community
874995b84ffffff,Other
874995bb1ffffff,Services
874995b86ffffff,Food
874995b80ffffff,Food
874995b85ffffff,Retail
874995ba3ffffff,Other
874995ba2ffffff,Food
874995bb5ffffff,Services
874995bb0ffffff,Retail
874995bb3ffffff,Services
874995b95ffffff,Food
874995b82ffffff,Other
874995b83ffffff,Other
874995b81ffffff,Services
874995baaffffff,Food
874995baeffffff,Retail
874995ba1ffffff,Food
874995ba0ffffff,Other
874995ba6ffffff,Services
87499585bffffff,Food
874995bb4ffffff,Retail
874995bb6ffffff,Retail
874995bb2ffffff,Other
874995b94ffffff,Food
874995b90ffffff,Other
874995b91ffffff,Services
874995b9cffffff,Food
874995b9dffffff,Retail
874995b8effffff,Services
874995b8cffffff,Services
874995babffffff,Food
874995ba8ffffff,Other
874995bacffffff,Food
874995b12ffffff,Other
874995ba5ffffff,Other
874995ba4ffffff,Other
874995859ffffff,Retail
874995858ffffff,Retail
87499585affffff,Other
8749958e9ffffff,Food
8749958ebffffff,Services
8749958cdffffff,Services
8749958c9ffffff,Services
874995b96ffffff,Other
874995b92ffffff,Food
874995b93ffffff,Retail
874995b9effffff,Retail
874995b98ffffff,Food
874995b99ffffff,Retail
874995b8affffff,Services
874995b88ffffff,Retail
874995b8dffffff,Other
874995a36ffffff,Services
874995ba9ffffff,Other
874995badffffff,Retail
874995b13ffffff,Services
874995b10ffffff,Other
874995b16ffffff,Other
87499584bffffff,Food
87499584affffff,Food
87499585dffffff,Other
87499585cffffff,Food
87499585effffff,Food
8749958edffffff,Food
8749958e8ffffff,Retail
8749958eaffffff,Retail
8749958ccffffff,Food
8749958c8ffffff,Food
8749958cbffffff,Services
874995165ffffff,Food
874995161ffffff,Other
87499516cffffff,Food
87499516dffffff,Services
874995b9affffff,Services
874995b9bffffff,Other
874995aa6ffffff,Food
874995aa4ffffff,Other
874995b8bffffff,Services
874995b89ffffff,Food
874995a32ffffff,Services
874995a30ffffff,Retail
874995a34ffffff,Other
874995b1affffff,Services
874995b1effffff,Food
874995b11ffffff,Other
874995b15ffffff,Other
874995b14ffffff,Other
874995849ffffff,Services
874995848ffffff,Other
87499584effffff,Other
874995843ffffff,Services
